"행정구역(시군구)별","연령별","항목","단위","2023.04 월","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"전국","계","총인구수[명]","명","51408155","49540367","49773145","50515666","50734284","50948272","51141463","51327916","51529338","51696216","51778544","51826059","51849861","51829023","51638809","51439038",
"전국","계","남자인구수[명]","명","25617485","24822897","24929939","25310385","25406934","25504060","25588336","25669296","25758186","25827594","25855919","25866129","25864816","25841029","25746684","25636951",
"전국","계","여자인구수[명]","명","25790670","24717470","24843206","25205281","25327350","25444212","25553127","25658620","25771152","25868622","25922625","25959930","25985045","25987994","25892125","25802087",
"전국","0세","총인구수[명]","명","236401","444421","424529","448516","451579","464374","421465","419833","424563","393674","345786","317685","295132","265087","253946","244250",
"전국","0세","남자인구수[명]","명","121201","228977","218756","231521","231954","238639","216177","215277","217775","201541","178138","162950","151494","135661","130157","124860",
"전국","0세","여자인구수[명]","명","115200","215444","205773","216995","219625","225735","205288","204556","206788","192133","167648","154735","143638","129426","123789","119390",
"전국","1세","총인구수[명]","명","261638","491498","464282","443963","470224","472275","486655","438778","437994","441720","409814","361625","330970","304651","274633","264788",
"전국","1세","남자인구수[명]","명","133785","252827","239071","228695","242646","242477","249946","224965","224552","226513","209813","186218","169815","156522","140556","135737",
"전국","1세","여자인구수[명]","명","127853","238671","225211","215268","227578","229798","236709","213813","213442","215207","200001","175407","161155","148129","134077","129051",
"전국","2세","총인구수[명]","명","273776","446884","492482","465564","445437","470956","474098","488030","439989","439207","442943","411225","362900","331606","306120","277529",
"전국","2세","남자인구수[명]","명","140301","231174","253302","239670","229427","242888","243428","250522","225541","225099","227063","210425","186836","170125","157219","141983",
"전국","2세","여자인구수[명]","명","133475","215710","239180","225894","216010","228068","230670","237508","214448","214108","215880","200800","176064","161481","148901","135546",
"전국","3세","총인구수[명]","명","296368","434320","447432","493452","466807","446256","472047","474932","488716","440530","439700","443586","412018","363250","332157","307975",
"전국","3세","남자인구수[명]","명","151974","224936","231427","253806","240304","229847","243430","243806","250868","225753","225268","227329","210812","186956","170362","158148",
"전국","3세","여자인구수[명]","명","144394","209384","216005","239646","226503","216409","228617","231126","237848","214777","214432","216257","201206","176294","161795","149827",
"전국","4세","총인구수[명]","명","324742","472935","434700","448200","494388","467432","447055","472731","475519","489140","440872","440123","444102","412429","363613","333048",
"전국","4세","남자인구수[명]","명","166737","245303","225133","231845","254298","240609","230231","243756","244071","251047","225898","225458","227583","210989","187131","170826",
"전국","4세","여자인구수[명]","명","158005","227632","209567","216355","240090","226823","216824","228975","231448","238093","214974","214665","216519","201440","176482","162222",
"전국","5세","총인구수[명]","명","352957","492914","473112","435281","448774","494810","467935","447531","473120","475817","489401","441105","440483","444367","412739","364198",
"전국","5세","남자인구수[명]","명","181398","256075","245391","225436","232133","254522","240859","230460","243936","244215","251163","225975","225632","227723","211132","187428",
"전국","5세","여자인구수[명]","명","171559","236839","227721","209845","216641","240288","227076","217071","229184","231602","238238","215130","214851","216644","201607","176770",
"전국","6세","총인구수[명]","명","394500","494660","493040","473718","435724","449057","495221","468321","447817","473401","476061","489604","441362","440710","444555","413162",
"전국","6세","남자인구수[명]","명","202282","258531","256152","245698","225690","232273","254711","241045","230602","244059","244330","251225","226090","225736","227809","211336",
"전국","6세","여자인구수[명]","명","192218","236129","236888","228020","210034","216784","240510","227276","217215","229342","231731","238379","215272","214974","216746","201826",
"전국","7세","총인구수[명]","명","436765","559549","494611","493551","473970","435863","449321","495536","468546","448049","473580","476168","489772","441560","440866","444843",
"전국","7세","남자인구수[명]","명","223391","291499","258472","256412","245816","225763","232389","254864","241138","230694","244138","244333","251311","226161","225794","227921",
"전국","7세","여자인구수[명]","명","213374","268050","236139","237139","228154","210100","216932","240672","227408","217355","229442","231835","238461","215399","215072","216922",
"전국","8세","총인구수[명]","명","444133","639584","559360","495212","493658","474009","436031","449510","495761","468712","448183","473690","476358","489936","441672","441044",
"전국","8세","남자인구수[명]","명","227476","334592","291412","258781","256437","245839","225849","232475","254963","241222","230769","244167","244422","251371","226216","225874",
"전국","8세","여자인구수[명]","명","216657","304992","267948","236431","237221","228170","210182","217035","240798","227490","217414","229523","231936","238565","215456","215170",
"전국","9세","총인구수[명]","명","438862","620098","639421","560067","495288","493679","474106","436172","449663","495918","468858","448251","473817","476474","490049","441805",
"전국","9세","남자인구수[명]","명","224701","323874","334476","291713","258790","256466","245869","225910","232535","255019","241269","230777","244220","244468","251422","226266",
